TiP	tissue	pex_interactor
A2M	liver	FIS1
A2M	urinary bladder	FIS1
A2M	lung	FIS1
AARS1	cerebral cortex	SOD1
ABL1	colon	CAV1, MAVS, PRDX1
ABL1	urinary bladder	CAV1, MAVS, PRDX1
ABL2	retina	CAV1
ABL2	gallbladder	CAV1
ABL2	cerebellum	CAV1
ABL2	adipose tissue	CAV1
ACACB	tongue	PEX14
ACACB	heart muscle	PEX14
ACACB	colon	PEX14
ACACB	adipose tissue	PEX14
ACACB	breast	PEX14
ACACB	liver	PEX14
ACACB	skeletal muscle	PEX14
ACLY	prostate	DNM1L
ACLY	adipose tissue	DNM1L
ACO2	cerebral cortex	SOD1
ACO2	tongue	SOD1
ACO2	heart muscle	SOD1
ACO2	skeletal muscle	SOD1
ACO2	parathyroid gland	SOD1
ACTB	smooth muscle	EHHADH, ACTG1
ACTB	colon	EHHADH, ACTG1
ACTB	endometrium	EHHADH, ACTG1
ACTN1	smooth muscle	DNM1L
ACTN1	colon	DNM1L
ACTN1	endometrium	DNM1L
ACTN1	urinary bladder	DNM1L
ACTN1	seminal vesicle	DNM1L
ADAM10	thymus	PEX13
ADARB1	retina	EHHADH
ADARB1	colon	EHHADH
ADARB1	urinary bladder	EHHADH
ADARB1	lung	EHHADH
ADCY6	adipose tissue	VAPA
ADH5	liver	PRDX1
ADRB2	skin	NHERF1, VAPA, CRYM, PRDX1
ADRB2	adipose tissue	NHERF1, VAPA, CRYM, PRDX1
ADRB2	breast	NHERF1, VAPA, CRYM, PRDX1
ADRB2	lung	NHERF1, VAPA, CRYM, PRDX1
AP1B1	parathyroid gland	ARF1
AP2B1	cerebral cortex	VAPB, PEX26, SOD1
AP2B1	parathyroid gland	VAPB, PEX26, SOD1
TLE5	cerebral cortex	VIM
TLE5	cerebellum	VIM
AHCY	ovary	DNM1L
AHCY	esophagus	DNM1L
AHCY	pancreas	DNM1L
AHCY	liver	DNM1L
AHCY	kidney	DNM1L
AK2	tongue	SOD1, VIM
AK2	liver	SOD1, VIM
AK2	skeletal muscle	SOD1, VIM
AK2	kidney	SOD1, VIM
AKT1	heart muscle	VIM, ACAT2, IMPDH2
AKT1	pancreas	VIM, ACAT2, IMPDH2
AKT1	liver	VIM, ACAT2, IMPDH2
AKT1	adrenal gland	VIM, ACAT2, IMPDH2
ALDOA	cerebral cortex	DNM1L, SOD1
ALDOA	tongue	DNM1L, SOD1
ALDOA	heart muscle	DNM1L, SOD1
ALDOA	esophagus	DNM1L, SOD1
ALDOA	skeletal muscle	DNM1L, SOD1
ALDOA	choroid plexus	DNM1L, SOD1
ALDOA	parathyroid gland	DNM1L, SOD1
AMPD2	pituitary gland	VIM
AMPD2	choroid plexus	VIM
SLC25A6	pancreas	VIM
SLC25A6	choroid plexus	VIM
ANXA1	bone marrow	SOD1
ANXA1	cervix	SOD1
ANXA1	tonsil	SOD1
ANXA1	esophagus	SOD1
ANXA1	salivary gland	SOD1
ANXA1	adipose tissue	SOD1
ANXA1	vagina	SOD1
ANXA1	placenta	SOD1
ANXA7	skeletal muscle	VIM
ANXA7	parathyroid gland	VIM
BIRC5	testis	PEX26
BIRC5	bone marrow	PEX26
BIRC5	thymus	PEX26
APLP1	amygdala	VIM
APLP1	cerebral cortex	VIM
APLP1	spinal cord	VIM
APLP1	midbrain	VIM
APLP1	hippocampal formation	VIM
APLP1	pituitary gland	VIM
APLP1	hypothalamus	VIM
APLP1	basal ganglia	VIM
APOD	adipose tissue	VAPA, MFF
APOD	breast	VAPA, MFF
APOD	choroid plexus	VAPA, MFF
APOE	amygdala	ACTG1
APOE	cerebral cortex	ACTG1
APOE	midbrain	ACTG1
APOE	hippocampal formation	ACTG1
APOE	hypothalamus	ACTG1
APOE	liver	ACTG1
APOE	basal ganglia	ACTG1
APOE	adrenal gland	ACTG1
APOE	kidney	ACTG1
APRT	esophagus	SOD1
APRT	skin	SOD1
FAS	ovary	RHOA
FAS	adrenal gland	RHOA
FAS	lung	RHOA
AQP1	tongue	TRIM37
AQP1	adipose tissue	TRIM37
AQP1	choroid plexus	TRIM37
AQP1	kidney	TRIM37
AQP1	lung	TRIM37
AQP3	esophagus	MFF
AQP3	salivary gland	MFF
AQP3	skin	MFF
AQP3	thymus	MFF
AQP3	urinary bladder	MFF
AQP3	vagina	MFF
AQP6	kidney	PEX11G, VAPB, VAPA, PEX16, MFF, ACSL5, CYB5R3
AR	liver	CAV1
TRIM23	cerebral cortex	EHHADH, CCDC33
TRIM23	tongue	EHHADH, CCDC33
ARHGAP1	heart muscle	RHOA
ARHGAP1	urinary bladder	RHOA
ARHGAP5	thyroid gland	RHOA
ARHGAP5	retina	RHOA
ARHGAP5	heart muscle	RHOA
ARHGAP5	esophagus	RHOA
ARHGAP5	salivary gland	RHOA
GET3	choroid plexus	PDIA6, PEX14
ATM	retina	PEX5
ATM	tonsil	PEX5
ATM	appendix	PEX5
ATM	pancreas	PEX5
ATM	spleen	PEX5
ATM	lymph node	PEX5
ATM	thymus	PEX5
RERE	skeletal muscle	VIM
ATP1A1	duodenum	SOD1
ATP1A1	thyroid gland	SOD1
ATP1A1	small intestine	SOD1
ATP1A1	salivary gland	SOD1
ATP1A1	pancreas	SOD1
ATP1A1	kidney	SOD1
ATP1A1	parathyroid gland	SOD1
ALDH7A1	amygdala	SOD1
ALDH7A1	ovary	SOD1
ALDH7A1	liver	SOD1
ALDH7A1	basal ganglia	SOD1
ALDH7A1	kidney	SOD1
ATP5F1B	tongue	ABCD4, ECI2
ATP5F1B	heart muscle	ABCD4, ECI2
ATP5F1B	skeletal muscle	ABCD4, ECI2
ATP5F1B	choroid plexus	ABCD4, ECI2
ATP5F1B	kidney	ABCD4, ECI2
ATP5F1B	parathyroid gland	ABCD4, ECI2
ATP6V1A	retina	SOD1
ATP6V1A	cerebral cortex	SOD1
ATP6V1A	hypothalamus	SOD1
ATP6V1A	kidney	SOD1
ATP6V1A	parathyroid gland	SOD1
ATP6V1B1	cervix	SOD1
ATP6V1B1	salivary gland	SOD1
ATP6V1B1	skin	SOD1
ATP6V1B1	kidney	SOD1
ATP6V0B	bone marrow	MFF
ATP6V0B	choroid plexus	MFF
BAK1	duodenum	SOD1, HSD17B4
BARD1	testis	IDI1
BARD1	bone marrow	IDI1
BARD1	tonsil	IDI1
BARD1	skin	IDI1
BARD1	thymus	IDI1
BCL2	thyroid gland	SOD1
BCL2	spleen	SOD1
BCL2	thymus	SOD1
BDKRB2	urinary bladder	PEX16
BID	bone marrow	RHOA
BLMH	skin	NUDT12
BLMH	thymus	NUDT12
BNIP2	bone marrow	PEX12, CYB5R3
BRCA1	testis	HSPD1, PEX5, ACTG1
BRCA1	bone marrow	HSPD1, PEX5, ACTG1
BRCA1	tonsil	HSPD1, PEX5, ACTG1
BRCA1	lymph node	HSPD1, PEX5, ACTG1
BRCA1	thymus	HSPD1, PEX5, ACTG1
BYSL	skeletal muscle	TRIM37, CCDC33, VIM
BYSL	urinary bladder	TRIM37, CCDC33, VIM
CACNA1A	cerebellum	SCP2
CACNG1	tongue	VAPA
CALM1	amygdala	IDH1, NOS2, MYO5A
CALM1	cerebral cortex	IDH1, NOS2, MYO5A
CALM1	cerebellum	IDH1, NOS2, MYO5A
CALM1	hippocampal formation	IDH1, NOS2, MYO5A
CALM1	basal ganglia	IDH1, NOS2, MYO5A
CALM1	skeletal muscle	IDH1, NOS2, MYO5A
CALM2	amygdala	IDH1
CALM2	cerebral cortex	IDH1
CALM2	cerebellum	IDH1
CALM2	spinal cord	IDH1
CALM2	midbrain	IDH1
CALM2	hippocampal formation	IDH1
CALM2	hypothalamus	IDH1
CALM2	basal ganglia	IDH1
CALM3	amygdala	IDH1
CALM3	testis	IDH1
CALM3	cerebral cortex	IDH1
CALM3	cerebellum	IDH1
CALM3	midbrain	IDH1
CALM3	hippocampal formation	IDH1
CALM3	hypothalamus	IDH1
CALM3	basal ganglia	IDH1
CALR	thyroid gland	IDH1, MAVS
CALR	epididymis	IDH1, MAVS
CALR	bone marrow	IDH1, MAVS
CALR	liver	IDH1, MAVS
CAMK2A	amygdala	VIM
CAMK2A	cerebral cortex	VIM
CAMK2A	hippocampal formation	VIM
CAMK2A	basal ganglia	VIM
CAMK2A	skeletal muscle	VIM
CAPN3	spinal cord	EHHADH
CAPN3	epididymis	EHHADH
CAPN3	midbrain	EHHADH
CAPN3	hippocampal formation	EHHADH
CAPN3	tongue	EHHADH
CAPN3	basal ganglia	EHHADH
CAPN3	skeletal muscle	EHHADH
CAPN3	kidney	EHHADH
CASP6	duodenum	BAAT, CROT, SCP2
CASP6	small intestine	BAAT, CROT, SCP2
CASP6	colon	BAAT, CROT, SCP2
CASP6	rectum	BAAT, CROT, SCP2
CASP8	bone marrow	PDIA6, VIM
CASP8	spleen	PDIA6, VIM
CASP8	lymph node	PDIA6, VIM
CASP9	thyroid gland	HSD17B4
CASP9	testis	HSD17B4
CASP9	ovary	HSD17B4
CASP9	pituitary gland	HSD17B4
CASP9	pancreas	HSD17B4
CASP9	adrenal gland	HSD17B4
CBLB	adipose tissue	SOD1
SERPINH1	smooth muscle	IDH1, SOD1
SERPINH1	adipose tissue	IDH1, SOD1
SERPINH1	lung	IDH1, SOD1
SERPINH1	placenta	IDH1, SOD1
CBS	pancreas	EHHADH
CBS	liver	EHHADH
CCNH	testis	CCDC33
CD79A	tonsil	VAPB, VAPA, MFF
CD79A	appendix	VAPB, VAPA, MFF
CD79A	small intestine	VAPB, VAPA, MFF
CD79A	spleen	VAPB, VAPA, MFF
CD79A	lymph node	VAPB, VAPA, MFF
CD79A	thymus	VAPB, VAPA, MFF
CDK1	bone marrow	DNM1L
CDK1	tonsil	DNM1L
CDK1	lymph node	DNM1L
CDK1	thymus	DNM1L
CDC5L	bone marrow	PEX14
CDC5L	tongue	PEX14
CDC5L	liver	PEX14
CDC5L	parathyroid gland	PEX14
CDC25A	testis	PEX19
CDC25A	bone marrow	PEX19
CDC25A	thymus	PEX19
CDC42	bone marrow	SOD1
CDK7	testis	HSD17B4
CDK7	bone marrow	HSD17B4
CDK7	esophagus	HSD17B4
CDK7	skin	HSD17B4
CDK7	skeletal muscle	HSD17B4
CDKN1A	choroid plexus	VIM
CDKN2D	amygdala	PRDX5
CDKN2D	cerebral cortex	PRDX5
CDKN2D	cerebellum	PRDX5
CDKN2D	midbrain	PRDX5
CDKN2D	bone marrow	PRDX5
CDKN2D	hippocampal formation	PRDX5
CDKN2D	hypothalamus	PRDX5
CDKN2D	basal ganglia	PRDX5
CDKN2D	thymus	PRDX5
CFL1	bone marrow	ACTG1
CFL2	tongue	EHHADH, RAB2A, ACTG1
CFL2	heart muscle	EHHADH, RAB2A, ACTG1
CFL2	liver	EHHADH, RAB2A, ACTG1
CFL2	skeletal muscle	EHHADH, RAB2A, ACTG1
CFTR	pancreas	VAPB, VAPA, TTC1, HSPD1, LDHA, ACSL4, ISOC1, CNOT1, HACL1, PAICS, DDO, ACOT8, NHERF1, CAV1, HK1, PRDX1
RCC1	testis	DNM1L
RCC1	bone marrow	DNM1L
CHD3	cervix	PEX14, PAICS, VIM
CKB	cerebral cortex	DNM1L, SOD1
CKB	cerebellum	DNM1L, SOD1
CKB	colon	DNM1L, SOD1
CKB	basal ganglia	DNM1L, SOD1
CKMT1B	cerebellum	DNM1L
CKMT1B	colon	DNM1L
CKMT1B	esophagus	DNM1L
CKMT1B	rectum	DNM1L
CCR4	thymus	PRDX1
PLK3	gallbladder	MFF
PLK3	esophagus	MFF
PLK3	skin	MFF
PLK3	urinary bladder	MFF
COL1A1	gallbladder	PDIA6, PRDX1
COL1A1	smooth muscle	PDIA6, PRDX1
COL1A1	cervix	PDIA6, PRDX1
COL1A1	ovary	PDIA6, PRDX1
COL1A1	endometrium	PDIA6, PRDX1
COL1A1	urinary bladder	PDIA6, PRDX1
COL1A1	placenta	PDIA6, PRDX1
COL4A5	endometrium	MFF
COL4A5	urinary bladder	MFF
COL6A1	cervix	HSD17B4
COL6A1	ovary	HSD17B4
COL6A1	fallopian tube	HSD17B4
COL6A1	colon	HSD17B4
COL6A1	endometrium	HSD17B4
COL6A1	urinary bladder	HSD17B4
COL8A2	urinary bladder	PEX12, CYB5R3
COL8A2	choroid plexus	PEX12, CYB5R3
COL8A2	placenta	PEX12, CYB5R3
COX15	tongue	LDHA, RHOA, ARF1
COX15	heart muscle	LDHA, RHOA, ARF1
COX15	liver	LDHA, RHOA, ARF1
COX15	skeletal muscle	LDHA, RHOA, ARF1
COX15	adrenal gland	LDHA, RHOA, ARF1
CREB1	testis	VIM
CREB1	thymus	VIM
CRMP1	amygdala	VIM
CRMP1	retina	VIM
CRMP1	cerebral cortex	VIM
CRMP1	cerebellum	VIM
CRMP1	hippocampal formation	VIM
CRMP1	pituitary gland	VIM
CRMP1	hypothalamus	VIM
CRMP1	basal ganglia	VIM
CRYBA2	pituitary gland	CCDC33, SOD1
CRYBA2	pancreas	CCDC33, SOD1
CRYZ	epididymis	SOD1
CRYZ	liver	SOD1
CRYZ	choroid plexus	SOD1
CRYZ	kidney	SOD1
CSK	tonsil	CAV1
CSK	appendix	CAV1
CSK	small intestine	CAV1
CSK	esophagus	CAV1
CSK	liver	CAV1
CSK	spleen	CAV1
CSK	lymph node	CAV1
CSK	thymus	CAV1
CSNK1D	skeletal muscle	CAV1, SOD1
CSTF2	testis	ECH1
CSTF2	tonsil	ECH1
CSTF2	esophagus	ECH1
CSTF2	lymph node	ECH1
CSTF2	rectum	ECH1
CSTF2	thymus	ECH1
CTBP2	thyroid gland	ACTG1
CTBP2	retina	ACTG1
CTNND1	esophagus	SOD1
CYB561	salivary gland	EHHADH, VAPB, VAPA
CYB561	pancreas	EHHADH, VAPB, VAPA
CYB561	choroid plexus	EHHADH, VAPB, VAPA
CYB561	adrenal gland	EHHADH, VAPB, VAPA
DAB2	epididymis	SOD1
DAB2	adrenal gland	SOD1
DAB2	kidney	SOD1
DAB2	placenta	SOD1
DAG1	tongue	MDH1, CAT
DAG1	heart muscle	MDH1, CAT
DAG1	skeletal muscle	MDH1, CAT
DAG1	placenta	MDH1, CAT
DARS1	retina	DNM1L, SOD1
DARS1	skeletal muscle	DNM1L, SOD1
DARS1	thymus	DNM1L, SOD1
DAXX	spleen	PEX26
GADD45A	skeletal muscle	VIM
DDX6	retina	CNOT1, TRIM37
DDX6	bone marrow	CNOT1, TRIM37
DDX6	tonsil	CNOT1, TRIM37
DDX6	lymph node	CNOT1, TRIM37
DDX6	thymus	CNOT1, TRIM37
DMXL1	thyroid gland	PDIA6
DMXL1	bone marrow	PDIA6
DMXL1	prostate	PDIA6
DMXL1	kidney	PDIA6
DES	heart muscle	EHHADH, SOD1, VIM
DES	prostate	EHHADH, SOD1, VIM
DES	stomach	EHHADH, SOD1, VIM
DES	colon	EHHADH, SOD1, VIM
DES	skeletal muscle	EHHADH, SOD1, VIM
DES	endometrium	EHHADH, SOD1, VIM
DES	urinary bladder	EHHADH, SOD1, VIM
DIAPH1	bone marrow	RHOA
DIAPH1	liver	RHOA
DIAPH1	skeletal muscle	RHOA
DLD	tongue	LDHA, MAP2K2, HSDL2, PAICS, PDIA6, ARF1, HSD17B4
DLD	heart muscle	LDHA, MAP2K2, HSDL2, PAICS, PDIA6, ARF1, HSD17B4
DLD	liver	LDHA, MAP2K2, HSDL2, PAICS, PDIA6, ARF1, HSD17B4
DLD	skeletal muscle	LDHA, MAP2K2, HSDL2, PAICS, PDIA6, ARF1, HSD17B4
DLD	kidney	LDHA, MAP2K2, HSDL2, PAICS, PDIA6, ARF1, HSD17B4
DLD	parathyroid gland	LDHA, MAP2K2, HSDL2, PAICS, PDIA6, ARF1, HSD17B4
DLG4	amygdala	PEX19, HSPD1
DLG4	retina	PEX19, HSPD1
DLG4	cerebral cortex	PEX19, HSPD1
DLG4	cerebellum	PEX19, HSPD1
DLG4	hippocampal formation	PEX19, HSPD1
DLG4	pituitary gland	PEX19, HSPD1
DLG4	hypothalamus	PEX19, HSPD1
DLG4	basal ganglia	PEX19, HSPD1
DLST	tongue	MAVS, RHOA, ACAT1, HSDL2, IMPDH2, PAICS, PDIA6, IDH1, HSD17B4
DLST	heart muscle	MAVS, RHOA, ACAT1, HSDL2, IMPDH2, PAICS, PDIA6, IDH1, HSD17B4
DLST	skeletal muscle	MAVS, RHOA, ACAT1, HSDL2, IMPDH2, PAICS, PDIA6, IDH1, HSD17B4
DLST	kidney	MAVS, RHOA, ACAT1, HSDL2, IMPDH2, PAICS, PDIA6, IDH1, HSD17B4
ATN1	cerebellum	ACBD4, VIM
DTNB	amygdala	TRIM37
DTNB	cerebral cortex	TRIM37
DTNB	hippocampal formation	TRIM37
DTNB	salivary gland	TRIM37
DTNB	basal ganglia	TRIM37
EEF1B2	pancreas	DNM1L, SOD1
EEF1B2	skeletal muscle	DNM1L, SOD1
EEF1D	pancreas	ECH1, DNM1L, SOD1
EEF1G	tongue	ECH1, DNM1L, MVD, SOD1, ARF1
EEF1G	ovary	ECH1, DNM1L, MVD, SOD1, ARF1
EEF1G	skeletal muscle	ECH1, DNM1L, MVD, SOD1, ARF1
EEF2	pancreas	DNM1L, SOD1
EEF2	skeletal muscle	DNM1L, SOD1
EGFR	skin	CAV1, VAPA, PRDX1, MDH1
EGFR	liver	CAV1, VAPA, PRDX1, MDH1
EGFR	placenta	CAV1, VAPA, PRDX1, MDH1
EIF1AX	skeletal muscle	SOD1
EIF2S1	skeletal muscle	DNM1L, SOD1
EIF5A	esophagus	DNM1L
EIF5A	skin	DNM1L
EIF5A	liver	DNM1L
EIF5A	skeletal muscle	DNM1L
ELAVL1	testis	SOD1
ELAVL1	tonsil	SOD1
ELAVL1	thymus	SOD1
EMP1	cervix	EHHADH
EMP1	esophagus	EHHADH
EMP1	salivary gland	EHHADH
EMP1	adipose tissue	EHHADH
EMP1	vagina	EHHADH
ENO3	tongue	SOD1
ENO3	heart muscle	SOD1
ENO3	prostate	SOD1
ENO3	esophagus	SOD1
ENO3	salivary gland	SOD1
ENO3	liver	SOD1
ENO3	skeletal muscle	SOD1
EP300	bone marrow	DAO, DECR2
EP300	thymus	DAO, DECR2
EPHA4	testis	TRIM37
EPHA4	cerebral cortex	TRIM37
EPHA4	heart muscle	TRIM37
EPHA4	skin	TRIM37
EPHB2	duodenum	PHYH
EPHB2	ovary	PHYH
EPHB2	appendix	PHYH
EPHB2	small intestine	PHYH
EPHB2	colon	PHYH
EPHB2	rectum	PHYH
CLN8	spinal cord	VAPA, PDIA6
EPRS1	tongue	SOD1
EPRS1	salivary gland	SOD1
EPRS1	parathyroid gland	SOD1
ERBB4	fallopian tube	PRDX5
ERH	thymus	DNM1L
ESR1	smooth muscle	DNM1L
ESR1	cervix	DNM1L
ESR1	fallopian tube	DNM1L
ESR1	breast	DNM1L
ESR1	endometrium	DNM1L
ESR1	vagina	DNM1L
ETFB	tongue	SOD1
ETFB	heart muscle	SOD1
ETFB	liver	SOD1
ETFB	skeletal muscle	SOD1
EWSR1	testis	MVK, TRIM37
EWSR1	bone marrow	MVK, TRIM37
EWSR1	skeletal muscle	MVK, TRIM37
EWSR1	thymus	MVK, TRIM37
F8	tongue	PHYH
F8	heart muscle	PHYH
F8	adipose tissue	PHYH
FABP4	choroid plexus	VIM
FANCG	cerebellum	VIM
FANCG	thymus	VIM
FASN	cerebellum	DNM1L, LACC1
FASN	prostate	DNM1L, LACC1
FASN	skin	DNM1L, LACC1
FASN	pituitary gland	DNM1L, LACC1
FASN	adipose tissue	DNM1L, LACC1
FASN	breast	DNM1L, LACC1
FASN	liver	DNM1L, LACC1
FBP1	liver	BAAT
FCER1G	bone marrow	PEX16, MFF
FCER1G	appendix	PEX16, MFF
FCER1G	adipose tissue	PEX16, MFF
FCER1G	spleen	PEX16, MFF
FCER1G	urinary bladder	PEX16, MFF
FCER1G	choroid plexus	PEX16, MFF
FCER1G	lung	PEX16, MFF
FCER1G	placenta	PEX16, MFF
FEN1	bone marrow	SOD1
FEN1	tonsil	SOD1
FEN1	lymph node	SOD1
FEN1	thymus	SOD1
FGA	stomach	SOD1
FGA	liver	SOD1
FHL2	heart muscle	IDH1
FHL2	ovary	IDH1
FHL3	skeletal muscle	BAAT
FKBP4	cerebellum	PHYH
FN1	smooth muscle	VAPA, LDHA, GSTK1, CNOT1, G6PD, PAICS, TKT, PDIA6, IDI1, IMPDH2
FN1	heart muscle	VAPA, LDHA, GSTK1, CNOT1, G6PD, PAICS, TKT, PDIA6, IDI1, IMPDH2
FN1	colon	VAPA, LDHA, GSTK1, CNOT1, G6PD, PAICS, TKT, PDIA6, IDI1, IMPDH2
FN1	liver	VAPA, LDHA, GSTK1, CNOT1, G6PD, PAICS, TKT, PDIA6, IDI1, IMPDH2
FN1	urinary bladder	VAPA, LDHA, GSTK1, CNOT1, G6PD, PAICS, TKT, PDIA6, IDI1, IMPDH2
FN1	seminal vesicle	VAPA, LDHA, GSTK1, CNOT1, G6PD, PAICS, TKT, PDIA6, IDI1, IMPDH2
FN1	lung	VAPA, LDHA, GSTK1, CNOT1, G6PD, PAICS, TKT, PDIA6, IDI1, IMPDH2
FN1	placenta	VAPA, LDHA, GSTK1, CNOT1, G6PD, PAICS, TKT, PDIA6, IDI1, IMPDH2
XRCC6	testis	ABCD4, DNM1L, SOD1
XRCC6	bone marrow	ABCD4, DNM1L, SOD1
XRCC6	tonsil	ABCD4, DNM1L, SOD1
XRCC6	skeletal muscle	ABCD4, DNM1L, SOD1
XRCC6	thymus	ABCD4, DNM1L, SOD1
GAPDH	tongue	PRDX1
GAPDH	heart muscle	PRDX1
GAPDH	skeletal muscle	PRDX1
GAS8	fallopian tube	EHHADH
GAS8	choroid plexus	EHHADH
GCG	small intestine	IDE
GCG	pancreas	IDE
GCG	rectum	IDE
GDI1	amygdala	SOD1
GDI1	cerebral cortex	SOD1
GDI1	cerebellum	SOD1
GDI1	spinal cord	SOD1
GDI1	midbrain	SOD1
GDI1	hippocampal formation	SOD1
GDI1	pituitary gland	SOD1
GDI1	hypothalamus	SOD1
GDI1	basal ganglia	SOD1
GDI1	choroid plexus	SOD1
GFAP	amygdala	DNM1L, VIM
GFAP	retina	DNM1L, VIM
GFAP	cerebral cortex	DNM1L, VIM
GFAP	cerebellum	DNM1L, VIM
GFAP	spinal cord	DNM1L, VIM
GFAP	midbrain	DNM1L, VIM
GFAP	hippocampal formation	DNM1L, VIM
GFAP	hypothalamus	DNM1L, VIM
GFAP	basal ganglia	DNM1L, VIM
GFAP	choroid plexus	DNM1L, VIM
GJB1	spinal cord	MFF
GJB1	pancreas	MFF
GJB1	liver	MFF
GJB2	cervix	PEX12
GJB2	tonsil	PEX12
GJB2	esophagus	PEX12
GJB2	salivary gland	PEX12
GJB2	skin	PEX12
GJB2	liver	PEX12
GJB2	vagina	PEX12
GLO1	tongue	SOD1
GLO1	prostate	SOD1
GLO1	liver	SOD1
GLO1	skeletal muscle	SOD1
GLP1R	pancreas	CAV1, VAPB, AGXT
GNAO1	amygdala	ABCD3
GNAO1	cerebral cortex	ABCD3
GNAO1	cerebellum	ABCD3
GNAO1	spinal cord	ABCD3
GNAO1	midbrain	ABCD3
GNAO1	hippocampal formation	ABCD3
GNAO1	hypothalamus	ABCD3
GNAO1	basal ganglia	ABCD3
GNB1	retina	SOD1
GNB1	cerebral cortex	SOD1
GNB2	esophagus	SOD1
GOLGB1	epididymis	SOD2
GOLGB1	choroid plexus	SOD2
FFAR2	bone marrow	FIS1, PEX16
FFAR2	appendix	FIS1, PEX16
FFAR2	spleen	FIS1, PEX16
GRB2	bone marrow	GSTK1, VIM, PEX13, RAB8B, FABP1
GRB2	tonsil	GSTK1, VIM, PEX13, RAB8B, FABP1
GRB2	lymph node	GSTK1, VIM, PEX13, RAB8B, FABP1
GRB10	retina	CAV1
GRB10	tongue	CAV1
GRB10	pancreas	CAV1
GRB10	skeletal muscle	CAV1
GRN	lung	CYB5A, TTC1, CCDC33
NR3C1	skeletal muscle	CAV1, HSPD1
NR3C1	placenta	CAV1, HSPD1
ARHGAP35	amygdala	RHOA
ARHGAP35	testis	RHOA
ARHGAP35	cerebral cortex	RHOA
ARHGAP35	hippocampal formation	RHOA
ARHGAP35	parathyroid gland	RHOA
PDIA3	thyroid gland	SOD1
GSK3A	amygdala	LDHA, AKAP11
GSK3A	cerebral cortex	LDHA, AKAP11
GSK3A	cerebellum	LDHA, AKAP11
GSK3A	hippocampal formation	LDHA, AKAP11
GSK3A	basal ganglia	LDHA, AKAP11
GSK3A	skeletal muscle	LDHA, AKAP11
GSK3B	retina	AKAP11, DNM1L, VIM
GSK3B	testis	AKAP11, DNM1L, VIM
GSTP1	esophagus	SOD1
GSTP1	vagina	SOD1
GSTP1	choroid plexus	SOD1
GTF2B	bone marrow	HMGCL
GTF2B	thymus	HMGCL
GTF2B	choroid plexus	HMGCL
H1-0	bone marrow	PIK3C3, SOD1, TRIM37
H1-0	kidney	PIK3C3, SOD1, TRIM37
H1-2	bone marrow	AKAP11, G6PD, ECI2
H1-2	heart muscle	AKAP11, G6PD, ECI2
H1-2	skeletal muscle	AKAP11, G6PD, ECI2
H1-2	choroid plexus	AKAP11, G6PD, ECI2
H1-2	kidney	AKAP11, G6PD, ECI2
H2AC8	bone marrow	IDE, DNM1L, SOD1
H2AC8	prostate	IDE, DNM1L, SOD1
H2AC8	breast	IDE, DNM1L, SOD1
H2AC8	choroid plexus	IDE, DNM1L, SOD1
HSD17B10	heart muscle	RHOA, ACAT1, DNM1L, PDIA6, HMGCL, HMGCS2, CPS1, MDH1
HSD17B10	esophagus	RHOA, ACAT1, DNM1L, PDIA6, HMGCL, HMGCS2, CPS1, MDH1
HSD17B10	liver	RHOA, ACAT1, DNM1L, PDIA6, HMGCL, HMGCS2, CPS1, MDH1
HSD17B10	adrenal gland	RHOA, ACAT1, DNM1L, PDIA6, HMGCL, HMGCS2, CPS1, MDH1
HSD17B10	kidney	RHOA, ACAT1, DNM1L, PDIA6, HMGCL, HMGCS2, CPS1, MDH1
HAGH	liver	SOD1
HAGH	skeletal muscle	SOD1
HTT	cerebral cortex	TTC1, HSPD1, ECH1, VIM, ACTG1, SAMD4A, PEX11B
HTT	cerebellum	TTC1, HSPD1, ECH1, VIM, ACTG1, SAMD4A, PEX11B
HTT	skin	TTC1, HSPD1, ECH1, VIM, ACTG1, SAMD4A, PEX11B
HTT	pancreas	TTC1, HSPD1, ECH1, VIM, ACTG1, SAMD4A, PEX11B
HTT	skeletal muscle	TTC1, HSPD1, ECH1, VIM, ACTG1, SAMD4A, PEX11B
HDAC1	tonsil	LDHA
HDAC1	colon	LDHA
HDAC1	lymph node	LDHA
HEXB	epididymis	SOD1
HEXB	placenta	SOD1
HIP1	testis	EHHADH, BAAT, CROT, SCP2
HIP1	spinal cord	EHHADH, BAAT, CROT, SCP2
HINT1	liver	SOD1
HINT1	skeletal muscle	SOD1
HINT1	choroid plexus	SOD1
HMGB1	bone marrow	SOD1
HMGB1	tonsil	SOD1
HMGB1	lymph node	SOD1
HMGB1	thymus	SOD1
HMGB3	bone marrow	SOD1
HMGB3	liver	SOD1
HMGB3	skeletal muscle	SOD1
HMGB3	thymus	SOD1
HMGB3	parathyroid gland	SOD1
HMGB3	placenta	SOD1
HMOX2	liver	BAAT
HNRNPD	bone marrow	PEX10
HNRNPD	tonsil	PEX10
HNRNPD	lymph node	PEX10
HNRNPD	thymus	PEX10
HNRNPH1	bone marrow	PEX5
HNRNPH1	spleen	PEX5
HNRNPH1	thymus	PEX5
HOXC4	fallopian tube	SOD1
HPRT1	retina	DNM1L
HPRT1	testis	DNM1L
HPRT1	cerebral cortex	DNM1L
HPRT1	hypothalamus	DNM1L
PRMT1	tongue	DNM1L
PRMT1	heart muscle	DNM1L
PRMT1	ovary	DNM1L
