InteractorA	InteractorB	FoundInScreen	FoundInCheng	proteinA	proteinB	class
10455	10654	Y	N	ECI2	PMVK	iBret only
10455	10455	Y	N	ECI2	ECI2	iBret only
10478	51024	Y	N	SLC25A17	FIS1	iBret only
10654	51179	Y	N	PMVK	HAO2	iBret only
10901	5830	N	Y	DHRS4	PEX5	Cheng
10901	84188	Y	N	DHRS4	FAR1	iBret only
10901	10005	Y	N	DHRS4	ACOT8	iBret only
10901	10901	Y	N	DHRS4	DHRS4	iBret only
10901	3416	Y	N	DHRS4	IDE	iBret only
10901	5824	Y	N	DHRS4	PEX19	iBret only
10901	55670	Y	N	DHRS4	PEX26	iBret only
11001	51024	Y	N	SLC27A2	FIS1	iBret only
11001	92960	Y	N	SLC27A2	PEX11G	iBret only
11001	3416	Y	N	SLC27A2	IDE	iBret only
11264	5824	Y	Y	PXMP4	PEX19	Both
11264	5830	Y	N	PXMP4	PEX5	iBret only
11264	6342	Y	N	PXMP4	SCP2	iBret only
11264	5193	Y	N	PXMP4	PEX12	iBret only
11264	9409	Y	N	PXMP4	PEX16	iBret only
11264	92960	Y	N	PXMP4	PEX11G	iBret only
23305	23305	N	Y	ACSL6	ACSL6	Cheng
23417	54677	Y	N	MLYCD	CROT	iBret only
23417	23417	Y	N	MLYCD	MLYCD	iBret only
23600	51024	Y	N	AMACR	FIS1	iBret only
23600	252995	Y	N	AMACR	FNDC5	iBret only
23600	1891	Y	N	AMACR	ECH1	iBret only
25824	5052	N	Y	PRDX5	PRDX1	Cheng
25824	51024	Y	N	PRDX5	FIS1	iBret only
26061	26061	Y	Y	HACL1	HACL1	Both
26063	26063	Y	N	DECR2	DECR2	iBret only
51024	51024	Y	Y	FIS1	FIS1	Both
51024	222659	Y	N	FIS1	PXT1	iBret only
51024	1384	Y	N	FIS1	CRAT	iBret only
51024	1891	Y	N	FIS1	ECH1	iBret only
51024	6648	Y	N	FIS1	SOD2	iBret only
51179	51179	Y	N	HAO2	HAO2	iBret only
