Interactor_A,Interactor_B,Symbol_A,Symbol_B
351,201514,351,201514
351,203068,351,203068
351,206358,351,206358
351,257364,351,257364
351,285267,351,285267
351,285349,351,285349
351,339231,351,339231
351,339318,351,339318
351,100289635,351,100289635
351,481,351,481
351,813,351,813
351,847,351,CAT
351,1137,351,1137
351,1387,351,1387
351,1410,351,1410
351,1471,351,1471
351,1600,351,1600
351,1780,351,1780
351,1861,351,1861
351,2316,351,2316
351,2353,351,2353
351,2597,351,2597
351,2963,351,2963
351,3315,351,3315
351,3845,351,3845
351,4155,351,4155
351,4217,351,4217
351,4508,351,4508
351,4512,351,4512
351,4763,351,4763
351,4942,351,4942
351,5071,351,5071
351,5092,351,5092
351,5116,351,5116
351,5163,351,5163
351,5338,351,5338
351,5359,351,5359
351,5566,351,5566
351,5621,351,5621
351,5894,351,5894
351,6285,351,6285
351,6643,351,6643
351,6782,351,6782
351,6880,351,6880
351,7042,351,7042
351,7070,351,7070
351,7159,351,7159
351,7276,351,7276
351,7466,351,7466
351,7802,351,7802
351,8462,351,8462
351,8611,351,8611
351,8675,351,8675
351,8692,351,8692
351,8741,351,8741
351,9099,351,9099
351,9475,351,9475
351,9637,351,9637
351,9645,351,9645
351,10128,351,10128
351,10228,351,10228
351,10298,351,10298
351,10529,351,10529
351,10776,351,10776
351,11140,351,11140
351,22883,351,22883
351,22983,351,22983
351,23095,351,23095
351,28971,351,28971
351,51295,351,51295
351,54103,351,54103
351,57591,351,57591
351,80205,351,80205
351,91147,351,91147
351,129049,351,129049
351,150082,351,150082
476,481,476,481
476,501,476,501
476,2859,476,2859
476,2963,476,2963
476,4087,476,4087
476,23557,476,23557
476,1355,476,1355
476,5160,476,5160
476,6389,476,6389
476,6647,476,SOD1
476,7416,476,7416
476,8704,476,8704
476,57701,476,57701
476,79776,476,79776
998,324,998,324
998,392,998,392
998,396,998,396
998,408,998,408
998,663,998,663
998,409,998,409
998,836,998,836
998,998,998,998
998,1730,998,1730
998,1937,998,1937
998,1969,998,1969
998,2108,998,2108
998,2245,998,2245
998,3956,998,3956
998,4168,998,4168
998,4294,998,4294
998,4296,998,4296
998,4512,998,4512
998,4646,998,4646
998,4649,998,4649
998,5058,998,5058
998,5062,998,5062
998,5063,998,5063
998,5147,998,5147
998,5584,998,5584
998,5599,998,5599
998,5601,998,5601
998,5910,998,5910
998,5924,998,5924
998,6146,998,6146
998,6280,998,6280
998,6453,998,6453
998,6767,998,6767
998,7074,998,7074
998,7157,998,7157
998,7316,998,7316
998,7444,998,7444
998,7728,998,7728
998,8476,998,8476
998,8780,998,8780
998,8888,998,8888
998,8924,998,8924
998,8976,998,8976
998,9093,998,9093
998,9094,998,9094
998,9349,998,9349
998,9578,998,9578
998,9639,998,9639
998,9743,998,9743
998,9826,998,9826
998,10188,998,10188
998,10298,998,10298
998,10435,998,10435
998,10458,998,10458
998,10524,998,10524
998,10602,998,10602
998,10780,998,10780
998,11135,998,11135
998,11161,998,11161
998,23229,998,23229
998,23263,998,23263
998,23268,998,23268
998,23345,998,23345
998,23580,998,23580
998,25894,998,25894
998,26030,998,26030
998,26084,998,26084
998,50649,998,50649
998,50855,998,50855
998,51306,998,51306
998,51564,998,51564
998,55183,998,55183
998,55791,998,55791
998,56882,998,56882
998,56990,998,56990
998,57144,998,57144
998,57480,998,57480
998,57514,998,57514
998,57569,998,57569
998,57580,998,57580
998,80243,998,80243
998,80728,998,80728
998,84552,998,84552
998,84612,998,84612
998,114793,998,114793
998,116984,998,116984
998,116985,998,116985
998,117178,998,117178
998,121512,998,121512
998,147923,998,147923
998,152503,998,152503
998,158358,998,158358
998,197131,998,197131
998,221178,998,221178
998,1060,998,1060
998,1738,998,1738
998,2885,998,2885
998,2909,998,2909
998,4134,998,4134
998,4176,998,4176
998,4216,998,4216
998,5108,998,5108
998,5575,998,5575
998,5606,998,5606
998,5654,998,5654
998,5704,998,5704
998,6198,998,6198
998,6647,998,SOD1
998,7392,998,7392
998,8575,998,8575
998,8697,998,8697
998,8826,998,8826
998,9322,998,9322
998,9382,998,9382
998,9459,998,9459
998,9882,998,9882
998,10048,998,10048
998,10771,998,10771
998,10783,998,10783
998,25855,998,25855
998,50650,998,50650
998,55357,998,55357
998,64398,998,64398
998,81704,998,81704
998,84108,998,84108
998,84656,998,84656
998,116986,998,116986
1499,81,1499,81
1499,324,1499,324
1499,607,1499,607
1499,839,1499,839
1499,875,1499,875
1499,1211,1499,1211
1499,1410,1499,1410
1499,355,1499,355
1499,836,1499,836
1499,1387,1499,1387
1499,2064,1499,2064
1499,2260,1499,2260
1499,2274,1499,2274
1499,2321,1499,2321
1499,2521,1499,2521
1499,2670,1499,2670
1499,3064,1499,3064
1499,3094,1499,3094
1499,3551,1499,3551
1499,3728,1499,3728
1499,4204,1499,4204
1499,4729,1499,4729
1499,4790,1499,4790
1499,5295,1499,5295
1499,5754,1499,5754
1499,6144,1499,6144
1499,6304,1499,6304
1499,6500,1499,6500
1499,6597,1499,6597
1499,6925,1499,6925
1499,6934,1499,6934
1499,7248,1499,7248
1499,7804,1499,7804
1499,8312,1499,8312
1499,8943,1499,8943
1499,8945,1499,8945
1499,9372,1499,9372
1499,9590,1499,9590
1499,9821,1499,9821
1499,10463,1499,10463
1499,10565,1499,10565
1499,22826,1499,22826
1499,22943,1499,22943
1499,23112,1499,23112
1499,27101,1499,27101
1499,30011,1499,30011
1499,30851,1499,30851
1499,56647,1499,56647
1499,56998,1499,56998
1499,57338,1499,57338
1499,83439,1499,83439
1499,84162,1499,84162
1499,115426,1499,115426
1499,161742,1499,161742
1499,1855,1499,1855
1499,1861,1499,1861
1499,2259,1499,2259
1499,2534,1499,2534
1499,2597,1499,2597
1499,2932,1499,2932
1499,3092,1499,3092
1499,3320,1499,3320
1499,3920,1499,3920
1499,4036,1499,4036
1499,5175,1499,5175
1499,5901,1499,5901
1499,6171,1499,6171
1499,6256,1499,6256
1499,6907,1499,6907
1499,8125,1499,8125
1499,9223,1499,9223
1499,9584,1499,9584
1499,10038,1499,10038
1499,10297,1499,10297
1499,23513,1499,23513
1499,25909,1499,25909
1499,26060,1499,26060
1499,27347,1499,27347
1499,51260,1499,51260
1499,51742,1499,51742
1499,55119,1499,55119
1499,55299,1499,55299
1499,55660,1499,55660
1499,56288,1499,56288
1499,79577,1499,79577
1499,84456,1499,84456
1558,642,1558,642
1558,1558,1558,1558
1558,3337,1558,3337
1558,3437,1558,3437
1558,9361,1558,9361
1558,22983,1558,22983
1558,54536,1558,54536
1558,3920,1558,3920
1558,5663,1558,5663
1558,51100,1558,51100
1558,51295,1558,51295
1558,55660,1558,55660
1558,140545,1558,140545
1995,2130,1995,2130
1995,51295,1995,51295
1995,140545,1995,140545
1995,11140,1995,11140
1995,22983,1995,22983
1995,56478,1995,56478
2026,207,2026,207
2026,311,2026,311
2026,2029,2026,2029
2026,3098,2026,HK1
2026,3297,2026,3297
2026,4134,2026,4134
2026,6483,2026,6483
2026,7013,2026,7013
2026,7277,2026,7277
2026,10640,2026,10640
2026,22927,2026,22927
2026,25913,2026,25913
2026,26151,2026,26151
2026,59307,2026,59307
2026,65057,2026,65057
2026,374291,2026,374291
2026,10073,2026,10073
2026,26277,2026,26277
2026,89927,2026,89927
2193,1738,2193,1738
2193,5708,2193,5708
2193,8079,2193,8079
2193,10056,2193,10056
2193,11235,2193,11235
2193,25839,2193,25839
2193,6389,2193,6389
2193,10236,2193,10236
2193,51295,2193,51295
2193,140545,2193,140545
2639,1743,2639,1743
2639,2109,2639,2109
2639,2639,2639,2639
2639,2885,2639,2885
2639,5663,2639,5663
2639,11140,2639,11140
2639,5664,2639,5664
2639,22983,2639,22983
2639,51295,2639,51295
2639,54536,2639,54536
2639,140545,2639,140545
2669,166,2669,166
2669,373,2669,373
2669,784,2669,784
2669,1039,2669,1039
2669,2622,2669,2622
2669,1514,2669,1514
2669,2801,2669,2801
2669,3801,2669,3801
2669,3987,2669,3987
2669,4713,2669,4713
2669,4728,2669,4728
2669,5326,2669,5326
2669,5479,2669,5479
2669,5966,2669,5966
2669,6293,2669,6293
2669,6390,2669,6390
2669,6925,2669,6925
2669,7159,2669,7159
2669,7185,2669,7185
2669,7186,2669,7186
2669,7431,2669,VIM
2669,7448,2669,7448
2669,7568,2669,7568
2669,7681,2669,7681
2669,7746,2669,7746
2669,8548,2669,8548
2669,9240,2669,9240
2669,9260,2669,9260
2669,9616,2669,9616
2669,9892,2669,9892
2669,10174,2669,10174
2669,10445,2669,10445
2669,10615,2669,10615
2669,10768,2669,10768
2669,10900,2669,10900
2669,11043,2669,11043
2669,11340,2669,11340
2669,11343,2669,11343
2669,22954,2669,22954
2669,23184,2669,23184
2669,23281,2669,23281
2669,23641,2669,23641
2669,24144,2669,24144
2669,24146,2669,24146
2669,25915,2669,25915
2669,27185,2669,27185
2669,29911,2669,29911
2669,51295,2669,51295
2669,51741,2669,51741
2669,54059,2669,54059
2669,54558,2669,54558
2669,54764,2669,54764
2669,54793,2669,54793
2669,55011,2669,55011
2669,55805,2669,55805
2669,55906,2669,55906
2669,55954,2669,55954
2669,57120,2669,57120
2669,57511,2669,57511
2669,57730,2669,57730
2669,79027,2669,79027
2669,79666,2669,79666
2669,79768,2669,79768
2669,79818,2669,79818
2669,79839,2669,79839
2669,80174,2669,80174
2669,80258,2669,80258
2669,80321,2669,80321
2669,80823,2669,80823
2669,83719,2669,83719
2669,83878,2669,83878
2669,84342,2669,84342
2669,84445,2669,84445
2669,90480,2669,90480
2669,117178,2669,117178
2669,118490,2669,118490
2669,122961,2669,122961
2669,125115,2669,125115
2669,128061,2669,128061
2669,145282,2669,145282
2669,146542,2669,146542
2669,202243,2669,202243
2669,282991,2669,282991
2669,283234,2669,283234
2669,283899,2669,283899
2669,342132,2669,342132
2669,388324,2669,388324
2669,388677,2669,388677
2669,414059,2669,414059
2669,440295,2669,440295
2669,8517,2669,8517
2885,25,2885,25
2885,27,2885,27
2885,102,2885,102
2885,166,2885,166
2885,274,2885,274
2885,287,2885,287
2885,357,2885,357
2885,558,2885,558
2885,572,2885,572
2885,610,2885,610
2885,613,2885,613
2885,669,2885,669
2885,694,2885,694
2885,867,2885,867
2885,868,2885,868
2885,1164,2885,1164
2885,1315,2885,1315
2885,1337,2885,1337
2885,1398,2885,1398
2885,1436,2885,1436
2885,1601,2885,1601
2885,1627,2885,1627
2885,1759,2885,1759
2885,1785,2885,1785
2885,1793,2885,1793
2885,1795,2885,1795
2885,1840,2885,1840
2885,1856,2885,1856
2885,1894,2885,1894
2885,1912,2885,1912
2885,1956,2885,1956
2885,2004,2885,2004
2885,2033,2885,2033
2885,2047,2885,2047
2885,2059,2885,2059
2885,2060,2885,2060
2885,2064,2885,2064
2885,2066,2885,2066
2885,2120,2885,2120
2885,2137,2885,2137
2885,2316,2885,2316
2885,2317,2885,2317
2885,2495,2885,2495
2885,2512,2885,2512
2885,2549,2885,2549
2885,2571,2885,2571
2885,165,2885,165
2885,183,2885,183
2885,397,2885,397
2885,567,2885,567
2885,831,2885,831
2885,835,2885,835
2885,996,2885,996
2885,1027,2885,1027
2885,1191,2885,1191
2885,1271,2885,1271
2885,1605,2885,1605
2885,1615,2885,1615
2885,1742,2885,1742
2885,1892,2885,1892
2885,1951,2885,1951
2885,2023,2885,2023
2885,2098,2885,2098
2885,2151,2885,2151
