Interactor_A,Interactor_B,PI,HuInteractome,Symbol_A,Symbol_B
23305,23305,,1.0,ACSL6,ACSL6
10005,641371,1.0,,ACOT8,ACOT1
10005,10005,1.0,,ACOT8,ACOT8
92960,1891,1.0,,PEX11G,ECH1
92960,55711,1.0,,PEX11G,FAR2
92960,92960,1.0,,PEX11G,PEX11G
8504,1384,1.0,,PEX3,CRAT
94009,51024,1.0,,SERHL,FIS1
94009,94009,1.0,,SERHL,SERHL
91452,91452,1.0,,ACBD5,ACBD5
91452,3417,1.0,,ACBD5,IDH1
91452,55670,1.0,,ACBD5,PEX26
10059,10059,1.0,1.0,DNM1L,DNM1L
10059,1891,1.0,,DNM1L,ECH1
847,1962,,1.0,CAT,EHHADH
847,847,1.0,1.0,CAT,CAT
847,3422,1.0,,CAT,IDI1
51024,51024,1.0,1.0,FIS1,FIS1
51024,6648,1.0,,FIS1,SOD2
51024,222659,1.0,,FIS1,PXT1
51024,1384,1.0,,FIS1,CRAT
51024,1891,1.0,,FIS1,ECH1
8528,8528,1.0,,DDO,DDO
3416,3416,,1.0,IDE,IDE
3417,3417,1.0,1.0,IDH1,IDH1
641371,51179,1.0,,ACOT1,HAO2
3422,23417,1.0,,IDI1,MLYCD
1891,373156,1.0,,ECH1,GSTK1
1891,1891,1.0,,ECH1,ECH1
1891,51179,1.0,,ECH1,HAO2
1891,55670,1.0,,ECH1,PEX26
1384,373156,1.0,,CRAT,GSTK1
55670,55670,1.0,1.0,PEX26,PEX26
23417,23417,1.0,1.0,MLYCD,MLYCD
23417,54677,1.0,,MLYCD,CROT
10654,51179,1.0,,PMVK,HAO2
84896,5052,1.0,,ATAD1,PRDX1
373156,373156,1.0,1.0,GSTK1,GSTK1
373156,5052,1.0,,GSTK1,PRDX1
5052,5052,1.0,1.0,PRDX1,PRDX1
5052,4591,1.0,,PRDX1,TRIM37
222659,4591,1.0,,PXT1,TRIM37
26061,26061,1.0,1.0,HACL1,HACL1
26063,26063,1.0,,DECR2,DECR2
51179,51179,1.0,,HAO2,HAO2
4598,4598,1.0,1.0,MVK,MVK
6648,6648,1.0,1.0,SOD2,SOD2
